sample_id,mode,audio_path,spk1_path,spk2_path,map_path,preview_path,channels,label_type,status
SyntheticHeavyOverlap_test_01,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_01_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_01_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_01_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_01.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_01.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticHeavyOverlap_test_02,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_02_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_02_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_02_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_02.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_02.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticHeavyOverlap_test_03,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_03_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_03_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_03_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_03.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_03.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticHeavyOverlap_test_04,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_04_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_04_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_04_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_04.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_04.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticHeavyOverlap_test_05,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_05_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_05_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_05_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_05.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_05.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticHeavyOverlap_test_06,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_06_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_06_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_06_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_06.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_06.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticHeavyOverlap_test_07,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_07_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_07_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_07_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_07.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_07.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticHeavyOverlap_test_08,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_08_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_08_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_08_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_08.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_08.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticHeavyOverlap_test_09,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_09_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_09_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_09_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_09.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_09.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticHeavyOverlap_test_10,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_10_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_10_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_test_10_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_10.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_10.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_dev_01,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_01_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_01_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_01_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_01.npy,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_01.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_dev_02,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_02_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_02_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_02_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_02.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_dev_03,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_03_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_03_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_03_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_03.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_dev_04,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_04_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_04_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_04_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_04.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_dev_05,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_05_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_05_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_05_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_05.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_dev_06,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_06_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_06_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_06_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_06.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_dev_07,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_07_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_07_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_07_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_07.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_dev_08,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_08_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_08_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_08_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_08.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_dev_09,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_09_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_09_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_09_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_09.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_dev_10,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_10_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_10_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_10_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_dev_10.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_test_01,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_01_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_01_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_01_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_test_01.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_test_02,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_02_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_02_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_02_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_test_02.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_test_03,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_03_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_03_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_03_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_test_03.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_test_04,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_04_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_04_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_04_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_test_04.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_test_05,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_05_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_05_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_05_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_test_05.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_test_06,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_06_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_06_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_06_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_test_06.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_test_07,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_07_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_07_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_07_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_test_07.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_test_08,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_08_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_08_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_08_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_test_08.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_test_09,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_09_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_09_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_09_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_test_09.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticLightOverlap_test_10,deployable,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_10_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_10_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_test_10_spk2.wav,resources/audio_depth_maps/deployable/SyntheticLightOverlap_test_10.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_dev_01,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_01_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_01_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_01_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_01.npy,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_01.png,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_dev_02,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_02_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_02_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_02_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_02.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_dev_03,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_03_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_03_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_03_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_03.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_dev_04,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_04_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_04_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_04_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_04.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_dev_05,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_05_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_05_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_05_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_05.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_dev_06,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_06_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_06_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_06_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_06.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_dev_07,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_07_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_07_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_07_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_07.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_dev_08,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_08_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_08_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_08_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_08.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_dev_09,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_09_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_09_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_09_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_09.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_dev_10,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_10_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_10_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_dev_10_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_dev_10.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
SyntheticMidOverlap_test_01,deployable,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_test_01_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_test_01_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticMidOverlap/SyntheticMidOverlap_test_01_spk2.wav,resources/audio_depth_maps/deployable/SyntheticMidOverlap_test_01.npy,,log_mel|overlap_proxy|uncertainty_proxy,deployable,existing
